customer_id,segment,customer_lifetime_value,customer_total_payments,customer_success_rate,customer_failure_rate,average_payment,days_since_last_success
C100000,high_value,1211120.12,17,0.9133,0.0867,78002.42,30
C100001,regular,126821.1,27,0.9317,0.0683,5041.31,35
C100002,high_value,1510746.16,66,0.9327,0.0673,24542.77,58
C100003,regular,33541.47,12,0.8358,0.1642,3344.28,41
C100004,new,11320.05,4,0.7671,0.2329,3689.41,23
C100005,at_risk,130255.71,26,0.6796,0.3204,7371.6,19
C100006,high_value,696238.11,56,0.9807,0.0193,12677.07,35
C100007,high_value,1390971.15,23,0.995,0.005,60780.91,78
C100008,new,15413.06,4,0.788,0.212,4890.08,51
C100009,regular,46369.38,10,0.995,0.005,4660.24,81
C100010,regular,284873.17,24,0.918,0.082,12930.14,26
C100011,at_risk,53142.03,28,0.621,0.379,3056.19,38
C100012,regular,51434.29,13,0.8524,0.1476,4641.43,43
C100013,high_value,1226168.95,19,0.995,0.005,64859.51,59
C100014,regular,282561.46,33,0.8874,0.1126,9648.89,26
C100015,regular,369323.11,28,0.8809,0.1191,14973.74,51
C100016,regular,204437.63,33,0.9677,0.0323,6402.16,75
C100017,new,8813.46,2,0.8321,0.1679,5295.79,32
C100018,high_value,398975.19,22,0.995,0.005,18226.37,17
C100019,regular,210716.36,21,0.8937,0.1063,11227.59,77
C100020,high_value,837919.76,35,0.9577,0.0423,24997.82,54
C100021,regular,260637.91,33,0.9073,0.0927,8705.02,10
C100022,at_risk,106669.45,23,0.6552,0.3448,7078.31,32
C100023,high_value,1070129.04,59,0.995,0.005,18228.92,105
C100024,high_value,630611.25,23,0.9766,0.0234,28075.79,48
C100025,new,6564.24,2,0.8689,0.1311,3777.46,34
C100026,regular,39515.86,6,0.9504,0.0496,6929.88,15
C100027,new,3724.49,5,0.7694,0.2306,968.11,15
C100028,new,32803.81,5,0.8173,0.1827,8027.44,57
C100029,regular,135668.18,14,0.9868,0.0132,9820.54,16
C100030,high_value,1900429.96,60,0.995,0.005,31833.0,43
C100031,at_risk,98173.18,26,0.6734,0.3266,5607.12,32
C100032,regular,97757.09,6,0.9112,0.0888,17881.53,41
C100033,regular,103037.81,25,0.9002,0.0998,4578.19,30
C100034,regular,71790.49,20,0.9359,0.0641,3835.28,47
C100035,new,11731.42,3,0.8553,0.1447,4571.89,64
C100036,new,2560.0,2,0.7995,0.2005,1600.96,30
C100037,regular,48372.13,14,0.9305,0.0695,3713.4,60
C100038,regular,143455.18,14,0.9123,0.0877,11231.67,83
C100039,regular,259913.85,24,0.8952,0.1048,12096.96,43
C100040,regular,48036.76,11,0.9027,0.0973,4837.66,56
C100041,high_value,358343.83,15,0.9661,0.0339,24728.01,12
C100042,regular,39644.82,20,0.9873,0.0127,2007.71,31
C100043,regular,92753.43,23,0.8992,0.1008,4484.76,9
C100044,high_value,583930.2,55,0.9624,0.0376,11032.08,23
C100045,high_value,602253.75,30,0.9211,0.0789,21795.72,31
C100046,regular,99339.4,12,0.9422,0.0578,8785.67,111
C100047,regular,73046.61,12,0.9715,0.0285,6265.79,19
C100048,regular,112904.26,16,0.9831,0.0169,7177.8,33
C100049,new,3310.39,2,0.7892,0.2108,2097.44,16
C100050,new,9833.63,3,0.8058,0.1942,4067.62,29
C100051,new,12627.48,3,0.7731,0.2269,5444.59,47
C100052,high_value,2911584.93,67,0.9838,0.0162,44173.84,53
C100053,regular,103601.6,23,0.9241,0.0759,4874.23,26
C100054,regular,134702.27,13,0.9126,0.0874,11353.79,21
C100055,high_value,1059433.01,41,0.9662,0.0338,26743.8,90
C100056,regular,116855.42,16,0.9303,0.0697,7850.35,25
C100057,regular,169002.92,21,0.8968,0.1032,8974.23,4
C100058,new,1960.18,1,0.7691,0.2309,2548.71,75
C100059,new,5128.64,1,0.8568,0.1432,5985.59,6
C100060,regular,77646.85,11,0.995,0.005,7094.28,75
C100061,regular,163290.79,22,0.8558,0.1442,8672.91,9
C100062,regular,71377.7,10,0.8533,0.1467,8364.67,11
C100063,high_value,666256.46,29,0.9169,0.0831,25055.79,14
C100064,regular,35322.31,10,0.9054,0.0946,3901.5,23
C100065,regular,91006.11,12,0.9503,0.0497,7980.39,76
C100066,regular,131722.42,14,0.9366,0.0634,10045.57,14
C100067,regular,67562.28,6,0.9177,0.0823,12269.67,47
C100068,new,2631.82,3,0.8038,0.1962,1091.4,40
C100069,regular,236993.95,33,0.8789,0.1211,8171.57,36
C100070,regular,48111.23,14,0.899,0.101,3822.54,67
C100071,regular,109680.17,29,0.9091,0.0909,4160.26,38
C100072,high_value,447416.88,28,0.8887,0.1113,17980.18,40
C100073,regular,140436.24,32,0.8577,0.1423,5116.5,56
C100074,new,5186.73,4,0.7295,0.2705,1777.42,24
C100075,regular,197567.77,29,0.9444,0.0556,7213.88,34
C100076,regular,167925.25,30,0.921,0.079,6077.37,43
C100077,regular,26275.85,8,0.9375,0.0625,3503.45,63
C100078,regular,46217.33,16,0.8272,0.1728,3491.94,30
C100079,high_value,1149535.42,60,0.8932,0.1068,21448.81,33
C100080,regular,52008.72,27,0.9398,0.0602,2049.54,46
C100081,regular,20186.43,22,0.785,0.215,1168.93,31
C100082,high_value,2397122.19,37,0.995,0.005,65112.65,19
C100083,new,638.47,1,0.698,0.302,914.78,56
C100084,new,4792.77,3,0.818,0.182,1953.16,38
C100085,new,6902.8,1,0.74,0.26,9327.93,25
C100086,high_value,542217.86,34,0.995,0.005,16027.72,13
C100087,regular,36091.92,6,0.995,0.005,6045.55,6
C100088,new,18073.4,2,0.6777,0.3223,13334.23,48
C100089,regular,482253.27,22,0.9413,0.0587,23287.78,19
C100090,new,11392.0,4,0.6986,0.3014,4076.53,8
C100091,regular,470549.15,29,0.9292,0.0708,17462.07,17
C100092,regular,102553.43,30,0.9007,0.0993,3795.34,42
C100093,regular,109897.59,17,0.9158,0.0842,7058.62,19
C100094,regular,30287.9,12,0.869,0.131,2904.56,43
C100095,regular,41794.32,14,0.9451,0.0549,3158.64,22
C100096,regular,39790.27,14,0.8448,0.1552,3364.21,33
C100097,new,3863.81,2,0.8359,0.1641,2311.24,36
C100098,new,4615.82,2,0.7616,0.2384,3030.41,54
C100099,at_risk,233452.42,36,0.5569,0.4431,11644.88,55
C100100,at_risk,135068.53,23,0.6918,0.3082,8489.13,34
C100101,regular,83322.64,16,0.907,0.093,5741.83,15
C100102,regular,81899.61,14,0.995,0.005,5879.37,72
C100103,at_risk,77806.76,28,0.675,0.325,4117.0,25
C100104,high_value,2266586.8,55,0.9241,0.0759,44596.26,2
C100105,regular,128599.76,19,0.9062,0.0938,7469.2,41
C100106,regular,59987.62,7,0.9154,0.0846,9361.18,42
C100107,regular,68711.75,13,0.9787,0.0213,5400.64,26
C100108,new,19036.13,5,0.7997,0.2003,4760.89,9
C100109,at_risk,313666.08,24,0.6279,0.3721,20813.39,7
C100110,regular,89614.71,15,0.901,0.099,6630.72,27
C100111,regular,32329.38,10,0.9077,0.0923,3561.58,14
C100112,regular,93179.02,31,0.9687,0.0313,3102.87,63
C100113,regular,64852.52,25,0.9102,0.0898,2850.14,26
C100114,new,965.91,1,0.7622,0.2378,1267.22,24
C100115,high_value,1266012.81,44,0.9346,0.0654,30786.55,104
C100116,high_value,1636878.4,51,0.9351,0.0649,34323.95,3
C100117,regular,251755.51,32,0.8469,0.1531,9289.53,33
C100118,regular,104050.07,22,0.8762,0.1238,5397.59,6
C100119,regular,20431.56,9,0.9774,0.0226,2322.6,77
C100120,regular,180957.01,32,0.9007,0.0993,6278.33,8
C100121,regular,58517.12,19,0.9417,0.0583,3270.52,44
C100122,new,1612.61,1,0.6685,0.3315,2412.44,39
C100123,regular,378907.2,25,0.9356,0.0644,16199.99,6
C100124,new,34366.0,5,0.7727,0.2273,8894.59,44
C100125,regular,71397.11,17,0.8883,0.1117,4727.75,22
C100126,regular,173635.94,20,0.9181,0.0819,9455.82,50
C100127,new,4031.67,3,0.7577,0.2423,1773.67,21
C100128,new,1472.15,1,0.6844,0.3156,2150.92,44
C100129,regular,225146.15,20,0.9515,0.0485,11831.1,31
C100130,new,8376.35,3,0.7909,0.2091,3530.14,44
C100131,at_risk,177206.34,18,0.6059,0.3941,16248.96,49
C100132,regular,46636.37,14,0.8665,0.1335,3844.3,28
C100133,regular,125825.7,22,0.8439,0.1561,6777.63,25
C100134,regular,218928.78,27,0.9201,0.0799,8812.84,48
C100135,new,10761.32,3,0.8526,0.1474,4207.23,22
C100136,at_risk,508008.95,36,0.6291,0.3709,22429.51,29
C100137,regular,35232.64,6,0.8478,0.1522,6926.49,86
C100138,high_value,758724.05,39,0.9701,0.0299,20053.45,33
C100139,new,3625.94,2,0.7776,0.2224,2331.5,55
C100140,regular,67705.09,9,0.9489,0.0511,7928.05,19
C100141,regular,87966.38,30,0.9373,0.0627,3128.35,44
C100142,at_risk,86109.15,19,0.4856,0.5144,9332.18,29
C100143,regular,181246.74,22,0.9345,0.0655,8815.59,25
C100144,regular,146286.29,34,0.8648,0.1352,4974.93,5
C100145,regular,153282.85,23,0.846,0.154,7877.42,14
C100146,regular,233265.05,24,0.9015,0.0985,10781.12,5
C100147,regular,278994.22,32,0.9285,0.0715,9390.01,108
C100148,regular,164604.7,25,0.8362,0.1638,7874.25,31
C100149,new,8960.13,3,0.8117,0.1883,3679.55,34
C100150,high_value,442493.52,18,0.9944,0.0056,24722.65,61
C100151,high_value,431591.3,15,0.9621,0.0379,29905.77,41
C100152,new,15400.58,4,0.741,0.259,5196.18,25
C100153,regular,120189.47,15,0.8659,0.1341,9253.23,25
C100154,new,20695.07,2,0.8262,0.1738,12524.75,13
C100155,regular,167833.0,21,0.842,0.158,9491.8,46
C100156,regular,170072.33,12,0.9579,0.0421,14795.57,47
