payment_id,customer_id,amount,timestamp,payment_status,failure_reason,attempt_number,payment_method
PAY200000,C101985,6587.61,2026-03-14 14:15:56,failed,network_error,2,upi
PAY200001,C102745,29883.72,2026-05-05 11:05:30,failed,expired_card,1,netbanking
PAY200002,C102122,16640.68,2026-02-19 22:58:47,failed,authentication_failure,2,upi
PAY200003,C101724,12986.53,2026-01-14 17:47:37,failed,insufficient_funds,2,upi
PAY200004,C101216,3958.28,2026-01-10 22:26:35,failed,payment_method_invalid,1,card
PAY200005,C101126,21292.06,2026-07-29 10:40:36,failed,insufficient_funds,1,upi
PAY200006,C102561,10837.32,2026-07-18 16:22:04,failed,expired_card,3,card
PAY200007,C101300,8915.59,2026-04-20 13:34:05,failed,payment_method_invalid,2,card
PAY200008,C103456,3922.79,2026-02-17 17:15:42,failed,expired_card,1,card
PAY200009,C100529,9054.61,2026-04-07 15:30:27,failed,insufficient_funds,1,card
PAY200010,C100861,26183.24,2026-04-22 10:35:53,failed,insufficient_funds,1,card
PAY200011,C100188,55334.69,2026-03-03 06:47:07,failed,insufficient_funds,1,upi
PAY200012,C103454,5177.85,2026-03-20 22:19:28,failed,insufficient_funds,1,netbanking
PAY200013,C101657,74920.72,2026-03-12 14:12:26,failed,insufficient_funds,1,card
PAY200014,C100140,10551.86,2026-06-26 15:23:49,failed,insufficient_funds,1,card
PAY200015,C100170,13816.2,2026-03-11 23:49:48,failed,bank_decline,4,card
PAY200016,C103672,8717.29,2026-01-21 18:06:30,failed,insufficient_funds,1,card
PAY200017,C103522,6223.59,2026-07-23 19:31:37,failed,network_error,2,card
PAY200018,C101107,4693.53,2026-06-28 05:44:57,failed,expired_card,1,card
PAY200019,C102599,19603.89,2026-03-11 05:43:58,failed,insufficient_funds,1,netbanking
PAY200020,C101010,2519.1,2026-06-26 13:51:00,failed,expired_card,1,card
PAY200021,C103374,11067.89,2026-06-01 09:49:48,failed,expired_card,2,upi
PAY200022,C102861,2505.01,2026-06-12 15:54:52,failed,bank_decline,1,card
PAY200023,C101777,16269.41,2026-04-21 08:01:16,failed,bank_decline,2,wallet
PAY200024,C103714,30743.12,2026-04-18 03:49:08,failed,expired_card,1,wallet
PAY200025,C100895,67825.3,2026-02-01 16:30:43,failed,bank_decline,1,wallet
PAY200026,C103987,2425.55,2026-02-19 12:36:50,failed,bank_decline,2,card
PAY200027,C101161,18560.69,2026-04-14 00:41:10,failed,authentication_failure,1,card
PAY200028,C103554,11795.81,2026-06-04 20:00:06,failed,authentication_failure,2,card
PAY200029,C103418,4697.62,2026-01-16 12:36:34,failed,network_error,2,netbanking
PAY200030,C102250,13896.01,2026-04-18 08:32:51,failed,network_error,3,card
PAY200031,C100487,4792.03,2026-04-29 01:46:11,failed,authentication_failure,2,upi
PAY200032,C103004,2162.26,2026-03-22 17:38:25,failed,bank_decline,1,card
PAY200033,C102793,2527.17,2026-05-30 22:15:03,failed,expired_card,3,card
PAY200034,C103460,11161.99,2026-04-12 10:05:17,failed,insufficient_funds,1,upi
PAY200035,C100902,4011.54,2026-03-17 09:26:39,failed,insufficient_funds,1,upi
PAY200036,C100957,43170.53,2026-07-04 20:05:50,failed,bank_decline,1,card
PAY200037,C101412,49228.22,2026-03-15 18:34:50,failed,authentication_failure,1,card
PAY200038,C101475,2802.96,2026-06-24 19:54:14,failed,network_error,1,upi
PAY200039,C100012,6729.3,2026-01-15 17:41:58,failed,payment_method_invalid,1,wallet
PAY200040,C100614,8676.08,2026-03-09 16:16:29,failed,expired_card,1,upi
PAY200041,C101916,7232.16,2026-03-04 14:30:57,failed,authentication_failure,1,card
PAY200042,C103868,2478.04,2026-05-27 05:44:50,failed,authentication_failure,2,card
PAY200043,C100513,6023.86,2026-03-11 09:32:42,failed,insufficient_funds,1,netbanking
PAY200044,C100964,8405.26,2026-05-11 16:31:35,failed,network_error,1,card
PAY200045,C103438,2654.11,2026-02-27 05:50:21,failed,insufficient_funds,2,wallet
PAY200046,C100156,14268.84,2026-01-19 21:34:12,failed,network_error,2,card
PAY200047,C100390,24659.98,2026-05-13 12:34:22,failed,insufficient_funds,3,card
PAY200048,C103559,3744.25,2026-03-11 19:59:22,failed,expired_card,2,upi
PAY200049,C101001,4274.06,2026-02-11 05:25:55,failed,authentication_failure,1,upi
PAY200050,C101231,28282.61,2026-01-15 22:40:47,failed,insufficient_funds,1,card
PAY200051,C100059,5810.5,2026-07-03 22:53:46,failed,bank_decline,2,card
PAY200052,C101625,126725.95,2026-02-03 15:37:10,failed,expired_card,1,netbanking
PAY200053,C103971,3382.7,2026-02-15 13:58:58,failed,expired_card,2,upi
PAY200054,C103941,2606.66,2026-01-05 02:43:10,failed,payment_method_invalid,3,wallet
PAY200055,C102565,4451.25,2026-04-14 12:16:27,failed,insufficient_funds,2,netbanking
PAY200056,C102700,747.81,2026-02-08 00:12:26,failed,insufficient_funds,1,wallet
PAY200057,C102574,11059.26,2026-07-17 08:11:33,failed,authentication_failure,1,upi
PAY200058,C102779,3986.15,2026-03-30 22:09:57,failed,insufficient_funds,1,card
PAY200059,C102075,4153.28,2026-06-23 10:29:30,failed,authentication_failure,2,upi
PAY200060,C100823,9943.19,2026-07-09 23:03:47,failed,insufficient_funds,2,upi
PAY200061,C103472,3297.81,2026-04-20 04:26:08,failed,network_error,1,netbanking
PAY200062,C103517,6736.72,2026-01-06 06:13:23,failed,bank_decline,1,card
PAY200063,C100576,4815.19,2026-04-15 16:00:47,failed,expired_card,1,card
PAY200064,C100378,6397.34,2026-05-18 22:52:44,failed,insufficient_funds,1,upi
PAY200065,C103171,11145.03,2026-01-18 05:53:11,failed,authentication_failure,2,card
PAY200066,C100190,6799.49,2026-03-23 08:00:57,failed,authentication_failure,1,upi
PAY200067,C103228,20323.47,2026-07-21 12:14:07,failed,authentication_failure,1,card
PAY200068,C103927,183147.26,2026-01-29 23:41:13,failed,payment_method_invalid,3,card
PAY200069,C100144,2881.74,2026-01-20 19:41:07,failed,authentication_failure,1,netbanking
PAY200070,C103195,9239.8,2026-03-07 11:14:09,failed,expired_card,1,upi
PAY200071,C100530,10266.62,2026-05-24 13:41:41,failed,bank_decline,2,wallet
PAY200072,C101160,9752.85,2026-02-20 10:42:48,failed,authentication_failure,1,upi
PAY200073,C102188,2943.27,2026-06-02 00:14:55,failed,payment_method_invalid,1,card
PAY200074,C102720,2667.28,2026-07-20 23:59:53,failed,expired_card,2,upi
PAY200075,C100360,25074.08,2026-07-13 14:46:22,failed,insufficient_funds,3,card
PAY200076,C100437,6886.71,2026-05-12 09:15:35,failed,insufficient_funds,3,upi
