payment_id,customer_id,amount,timestamp,payment_status,failure_reason,attempt_number,payment_method,customer_lifetime_value,customer_total_payments,customer_success_rate,customer_failure_rate,average_payment,days_since_last_success,recovery_probability_ground_truth,recoverable,baseline_action,optimal_action,recovered,amount_recovered,split
PAY200000,C101985,6587.61,2026-03-14 14:15:56,failed,network_error,2,upi,192424.62,38,0.6378,0.3622,7939.54,6,0.5964,1,retry,send_payment_link,0,0.0,train
PAY200001,C102745,29883.72,2026-05-05 11:05:30,failed,expired_card,1,netbanking,1086446.27,31,0.8997,0.1003,38952.06,10,0.5424,1,retry,send_payment_link,1,29883.72,train
PAY200002,C102122,16640.68,2026-02-19 22:58:47,failed,authentication_failure,2,upi,275180.66,25,0.9261,0.0739,11885.44,118,0.4192,0,retry,stop,0,0.0,validation
PAY200003,C101724,12986.53,2026-01-14 17:47:37,failed,insufficient_funds,2,upi,119346.44,13,0.9422,0.0578,9743.6,24,0.742,0,retry,schedule_retry,0,0.0,train
PAY200004,C101216,3958.28,2026-01-10 22:26:35,failed,payment_method_invalid,1,card,20453.79,7,0.8689,0.1311,3362.66,4,0.3424,0,retry,send_payment_link,1,3958.28,test
PAY200005,C101126,21292.06,2026-07-29 10:40:36,failed,insufficient_funds,1,upi,183301.48,17,0.8802,0.1198,12250.45,60,0.8383,0,retry,schedule_retry,1,21292.06,train
PAY200006,C102561,10837.32,2026-07-18 16:22:04,failed,expired_card,3,card,135760.4,27,0.9637,0.0363,5217.68,88,0.3449,0,stop,stop,0,0.0,train
PAY200007,C101300,8915.59,2026-04-20 13:34:05,failed,payment_method_invalid,2,card,82645.51,16,0.8913,0.1087,5795.45,9,0.2033,0,retry,send_payment_link,1,8915.59,train
PAY200008,C103456,3922.79,2026-02-17 17:15:42,failed,expired_card,1,card,99151.57,30,0.6486,0.3514,5095.58,30,0.3084,0,retry,send_payment_link,0,0.0,train
PAY200009,C100529,9054.61,2026-04-07 15:30:27,failed,insufficient_funds,1,card,114674.73,20,0.847,0.153,6769.25,95,0.7191,1,retry,retry,1,9054.61,train
PAY200010,C100861,26183.24,2026-04-22 10:35:53,failed,insufficient_funds,1,card,1107449.87,49,0.8971,0.1029,25192.28,68,0.875,1,retry,schedule_retry,1,26183.24,train
PAY200011,C100188,55334.69,2026-03-03 06:47:07,failed,insufficient_funds,1,upi,2748014.71,44,0.927,0.073,67370.41,87,0.8277,1,retry,escalate,0,0.0,train
PAY200012,C103454,5177.85,2026-03-20 22:19:28,failed,insufficient_funds,1,netbanking,24003.38,6,0.5961,0.4039,6711.24,122,0.4776,1,retry,send_payment_link,0,0.0,train
PAY200013,C101657,74920.72,2026-03-12 14:12:26,failed,insufficient_funds,1,card,1825310.21,30,0.8924,0.1076,68182.29,4,0.7999,1,retry,escalate,1,74920.72,validation
PAY200014,C100140,10551.86,2026-06-26 15:23:49,failed,insufficient_funds,1,card,67705.09,9,0.9489,0.0511,7928.05,19,0.8065,1,retry,schedule_retry,1,10551.86,train
PAY200015,C100170,13816.2,2026-03-11 23:49:48,failed,bank_decline,4,card,116350.89,14,0.9748,0.0252,8525.65,19,0.3073,0,stop,stop,0,0.0,test
PAY200016,C103672,8717.29,2026-01-21 18:06:30,failed,insufficient_funds,1,card,167703.4,27,0.9021,0.0979,6885.16,86,0.7642,1,retry,schedule_retry,1,8717.29,train
PAY200017,C103522,6223.59,2026-07-23 19:31:37,failed,network_error,2,card,4176.55,1,0.8204,0.1796,5090.98,50,0.7571,1,retry,schedule_retry,1,6223.59,train
PAY200018,C101107,4693.53,2026-06-28 05:44:57,failed,expired_card,1,card,130598.56,27,0.9589,0.0411,5044.2,23,0.4495,0,retry,send_payment_link,1,4693.53,validation
PAY200019,C102599,19603.89,2026-03-11 05:43:58,failed,insufficient_funds,1,netbanking,91094.51,8,0.6266,0.3734,18173.13,25,0.5475,0,retry,send_payment_link,0,0.0,train
PAY200020,C101010,2519.1,2026-06-26 13:51:00,failed,expired_card,1,card,38297.84,10,0.9009,0.0991,4250.83,13,0.4594,1,retry,send_payment_link,1,2519.1,validation
PAY200021,C103374,11067.89,2026-06-01 09:49:48,failed,expired_card,2,upi,283709.45,33,0.9467,0.0533,9081.24,3,0.4916,0,retry,send_payment_link,1,11067.89,test
PAY200022,C102861,2505.01,2026-06-12 15:54:52,failed,bank_decline,1,card,23141.88,12,0.8954,0.1046,2153.71,25,0.5744,1,retry,send_payment_link,0,0.0,train
PAY200023,C101777,16269.41,2026-04-21 08:01:16,failed,bank_decline,2,wallet,61327.11,8,0.9208,0.0792,8325.39,73,0.4823,1,retry,send_payment_link,1,16269.41,train
PAY200024,C103714,30743.12,2026-04-18 03:49:08,failed,expired_card,1,wallet,1387228.19,45,0.9889,0.0111,31173.27,42,0.582,1,retry,send_payment_link,0,0.0,train
PAY200025,C100895,67825.3,2026-02-01 16:30:43,failed,bank_decline,1,wallet,1538260.02,38,0.9056,0.0944,44700.74,62,0.5599,1,retry,escalate,0,0.0,train
PAY200026,C103987,2425.55,2026-02-19 12:36:50,failed,bank_decline,2,card,33848.76,13,0.9092,0.0908,2863.63,13,0.4463,1,retry,stop,0,0.0,train
PAY200027,C101161,18560.69,2026-04-14 00:41:10,failed,authentication_failure,1,card,174232.25,18,0.9445,0.0555,10248.02,22,0.6492,0,retry,retry,0,0.0,train
PAY200028,C103554,11795.81,2026-06-04 20:00:06,failed,authentication_failure,2,card,44802.88,7,0.9012,0.0988,7102.35,44,0.548,1,retry,send_payment_link,1,11795.81,train
PAY200029,C103418,4697.62,2026-01-16 12:36:34,failed,network_error,2,netbanking,9140.04,4,0.7229,0.2771,3160.96,11,0.7517,1,retry,schedule_retry,0,0.0,train
PAY200030,C102250,13896.01,2026-04-18 08:32:51,failed,network_error,3,card,386106.24,32,0.8868,0.1132,13606.15,25,0.7219,1,stop,schedule_retry,0,0.0,train
PAY200031,C100487,4792.03,2026-04-29 01:46:11,failed,authentication_failure,2,upi,113173.22,24,0.9104,0.0896,5179.64,80,0.5303,1,retry,send_payment_link,0,0.0,train
PAY200032,C103004,2162.26,2026-03-22 17:38:25,failed,bank_decline,1,card,8300.9,4,0.8429,0.1571,2462.06,44,0.5694,0,retry,send_payment_link,0,0.0,test
PAY200033,C102793,2527.17,2026-05-30 22:15:03,failed,expired_card,3,card,53390.31,24,0.6263,0.3737,3552.16,52,0.0827,0,stop,stop,0,0.0,train
PAY200034,C103460,11161.99,2026-04-12 10:05:17,failed,insufficient_funds,1,upi,120303.28,15,0.8463,0.1537,9476.73,54,0.7805,0,retry,schedule_retry,1,11161.99,train
PAY200035,C100902,4011.54,2026-03-17 09:26:39,failed,insufficient_funds,1,upi,10030.5,3,0.7641,0.2359,4375.87,43,0.7424,1,retry,schedule_retry,1,4011.54,validation
PAY200036,C100957,43170.53,2026-07-04 20:05:50,failed,bank_decline,1,card,632952.37,19,0.8823,0.1177,37758.86,20,0.5532,0,retry,send_payment_link,1,43170.53,train
PAY200037,C101412,49228.22,2026-03-15 18:34:50,failed,authentication_failure,1,card,1950829.67,46,0.9142,0.0858,46387.24,35,0.7063,1,retry,retry,1,49228.22,train
PAY200038,C101475,2802.96,2026-06-24 19:54:14,failed,network_error,1,upi,88159.18,25,0.864,0.136,4081.6,30,0.98,1,retry,schedule_retry,1,2802.96,train
PAY200039,C100012,6729.3,2026-01-15 17:41:58,failed,payment_method_invalid,1,wallet,51434.29,13,0.8524,0.1476,4641.43,43,0.3335,0,retry,send_payment_link,0,0.0,train
